threads,power,execution_time,mean_cycles,mean_mperf,mean_aperf,main_voltage
8,128.235,10.026105828,24633406885.125,19963117090.0,24632448439.75,1.014238
8,127.86,10.025242810,24649744679.0,19970232632.5,24648474779.75,1.015095
8,127.637,10.025927818,24610093769.625,19963230030.0,24609433511.625,1.013667
8,127.665,10.025224895,24619513838.25,19962999930.0,24618869646.875,1.009381
8,126.887,10.025381180,24606399747.125,19963088327.5,24605793818.0,1.015095
8,126.672,10.027594035,24634926543.875,19963097160.0,24634541180.875,1.012238
8,126.409,10.026367765,24643854318.0,19970288807.5,24641720856.75,1.009952
8,128.939,10.025585472,24628705666.25,19962987912.5,24628380713.875,1.014810
8,128.299,10.025356652,24615559040.5,19963163217.5,24615158146.0,1.014810
9,132.147,10.024993742,25233781547.77778,19969414711.11111,25228683775.77778,1.015381
9,131.594,10.025017401,25226504881.666668,19962963155.555557,25226222222.0,1.015381
9,131.496,10.025379247,25224665257.444443,19963168642.22222,25224267670.77778,1.015381
9,135.095,10.025940227,25241338684.11111,19963045228.88889,25240876077.11111,1.014810
9,134.452,10.024403780,25224471563.77778,19962844824.444443,25224211519.444443,1.015095
9,134.203,10.024646746,25232290044.11111,19969388193.333332,25229722354.77778,1.014810
9,134.245,10.025718442,25229710923.22222,19963053713.333332,25229428602.666668,1.015381
9,134.226,10.025336828,25238460517.77778,19962955571.11111,25238173011.555557,1.015381
9,133.837,10.024852204,25235793244.11111,19963014428.88889,25235372999.0,0.997476
9,133.731,10.026508792,25241687938.22222,19962993377.77778,25241431405.333332,1.013095
10,136.306,10.024178780,25673100773.6,19963144134.0,25672130982.2,1.008429
10,139.293,10.026032236,25669218731.4,19963072552.0,25668934822.5,1.009952
10,139.252,10.025044306,25676157610.9,19963061974.0,25675904301.8,1.015095
10,139.033,10.024198596,25684728973.0,19968936928.0,25677518452.6,1.002333
10,139.058,10.024926394,25668568477.5,19963049622.0,25668191994.2,0.997476
10,138.623,10.025236023,25672131977.3,19962920950.0,25671661021.2,1.014238
10,137.419,10.025222988,25676515729.8,19963104454.0,25676079524.9,1.009952
10,137.349,10.025222947,25659506864.9,19963104340.0,25659260003.2,1.011381
10,137.493,10.025209720,25687838234.0,19968777650.0,25686144016.9,1.013952
10,137.054,10.024841537,25650569157.2,19963215446.0,25650122225.7,1.014524
11,143.26,10.025207138,25547465749.636364,19963055045.454544,25547225658.81818,1.014810
11,142.669,10.024721685,25546970548.636364,19968363312.727272,25543738157.909092,1.014810
11,141.889,10.025198671,25547899342.090908,19963144916.363636,25547579319.81818,1.015095
11,141.765,10.025419902,25540351911.18182,19963184941.81818,25540106059.909092,1.014238
11,141.57,10.025447103,25552411714.363636,19963834172.727272,25549922528.909092,1.015095
11,141.417,10.025829022,25551000203.272728,19963199523.636364,25550587675.18182,1.014810
11,141.173,10.024973822,25536652076.545456,19963124741.81818,25536415053.727272,1.014524
11,140.631,10.025396860,25555778968.909092,19968635250.909092,25551583006.909092,1.014238
11,140.393,10.025340027,25556030521.0,19963034089.090908,25555716259.545456,1.014524
11,139.495,10.026200490,25538684383.18182,19963010618.18182,25538451581.636364,1.014810
12,143.723,10.025892582,24548238045.583332,19968222756.666668,24545933403.333332,1.012524
12,143.662,10.024490813,24569725605.5,19963127841.666668,24569446161.916668,1.013095
12,143.585,10.023037949,24579768763.333332,19963160713.333332,24579529475.333332,1.013952
12,143.595,10.023562321,24583364608.083332,19963206410.0,24583080862.583332,1.013095
12,143.109,10.024066529,24560752569.666668,19963127451.666668,24560502586.5,1.010810
12,142.576,10.025088816,24594519254.166668,19968825575.0,24588501806.666668,1.010238
12,142.679,10.025720525,24582703734.583332,19963150758.333332,24582409788.833332,1.011095
12,142.173,10.024182948,24584103934.916668,19963069040.0,24582998296.416668,1.010524
12,142.08,10.024558453,24596835910.333332,19963133415.0,24596520695.333332,1.011381
12,141.707,10.023704184,24589279843.916668,19963296733.333332,24588972774.25,1.010524
13,146.635,10.021862346,24564549683.384617,19963167104.615383,24564334305.153847,1.006952
13,145.913,10.022360427,24584731903.384617,19963063960.0,24584442126.46154,1.004048
13,145.775,10.025155449,24580487618.307693,19963131800.0,24580192133.615383,1.005048
13,144.958,10.021972001,24578328105.53846,19963176192.307693,24578110229.53846,1.005952
13,145.206,10.023355692,24606498487.23077,19963227598.46154,24606304545.846153,1.005952
13,149.197,10.025159892,24575230902.46154,19963160523.076923,24574956369.76923,1.003714
13,148.339,10.023303050,24569278582.615383,19963227289.23077,24569079979.923077,0.993143
13,147.878,10.022596258,24568216863.307693,19963069712.307693,24568019699.076923,1.002905
13,147.606,10.023291800,24573550815.307693,19963252196.923077,24573118867.46154,1.005286
13,147.408,10.022833407,24718338990.615383,19967561232.307693,24590254540.846153,1.005000
14,149.445,10.021987015,24609525092.0,19963187605.714287,24609127745.285713,1.005952
14,148.531,10.022404694,24592903539.357143,19962985895.714287,24592615961.714287,1.005048
14,152.581,10.021914238,24613637848.142857,19967132532.857143,24607692022.785713,0.993143
14,152.62,10.023263538,24596018233.42857,19963300284.285713,24595787602.07143,1.005952
14,152.451,10.022886635,24610057240.285713,19963217370.0,24609738609.57143,1.005619
14,151.834,10.020945151,24585956282.785713,19963170411.42857,24585587201.42857,1.004714
14,151.609,10.022361462,24589276242.5,19963353618.57143,24589041981.42857,1.005619
14,151.228,10.022977281,24610515915.285713,19967188432.857143,24604333533.57143,1.005381
14,150.35,10.021470448,24608654550.642857,19963102877.142857,24608460939.785713,1.005619
14,150.396,10.021873886,24589905835.642857,19963200994.285713,24589608257.57143,1.005619
15,156.424,10.022616838,24591110972.0,19963261660.0,24590851707.666668,1.005619
15,156.262,10.023014568,24592214210.4,19963275709.333332,24592035436.533333,1.006286
15,156.161,10.023819624,24603964131.333332,19963237628.0,24603645711.0,1.004714
15,155.849,10.020805427,24643558080.666668,19963273394.666668,24643364450.733334,1.005286
15,154.771,10.024218457,24594764472.2,19963282868.0,24594585531.133335,1.005952
15,154.267,10.021178801,24594910091.666668,19967022205.333332,24589265014.933334,1.006286
15,154.102,10.022551726,24608436187.133335,19963317726.666668,24607403001.0,1.005286
15,153.969,10.022713015,24599091564.4,19963298293.333332,24598928024.466667,1.005619
15,153.576,10.022331220,24598408118.133335,19963162601.333332,24597496071.0,1.004952
15,153.214,10.021140658,24616647180.733334,19963347765.333332,24616471241.866665,1.004381
16,158.648,10.022214811,24623468431.3125,19963377793.75,24623236861.375,1.005619
16,158.416,10.020187343,24641335961.8125,19963220382.5,24641130396.5625,1.006286
16,159.272,10.021225180,24639062862.9375,19963247933.75,24638888285.125,1.005619
16,157.732,10.020422604,24622821533.4375,19967004365.0,24615100736.375,1.005381
16,157.487,10.020106707,24638646080.75,19963218863.75,24638447206.125,1.005714
16,157.025,10.020599445,24616693217.0,19963310631.25,24616507066.25,1.005952
16,156.417,10.020020696,24644725229.9375,19963376727.5,24644505761.0,1.004714
16,160.84,10.021060351,24637446817.75,19963480778.75,24637120702.3125,1.006286
16,160.285,10.020197339,24666335868.5625,19967614250.0,24626583863.4375,1.005952
16,159.552,10.020253235,24619788336.4375,19966787346.25,24614591340.375,1.005714
17,161.839,10.019250487,24936841914.47059,19963794230.588234,24935829193.058823,1.005952
17,161.434,10.021304940,24914824540.411766,19963268549.411766,24913772219.941177,1.005048
17,160.76,10.021153551,24986085214.35294,19967070775.294117,24959841434.47059,1.006286
17,160.549,10.020376908,24926807066.411766,19963793041.17647,24926566525.82353,1.006286
17,166.473,10.020137642,24917914142.52941,19963291863.52941,24917542091.17647,1.005952
17,165.773,10.020826460,24918305066.52941,19963413875.294117,24917939679.0,1.005619
17,165.253,10.021122797,24904145627.588234,19963949560.0,24903787315.294117,1.006286
17,164.472,10.020323232,24921226401.17647,19967293009.411766,24906712448.411766,1.006619
17,163.041,10.020250346,24924579391.411766,19964665923.52941,24924120559.588234,1.006286
17,163.073,10.020658810,24924945722.294117,19964933847.058823,24924622289.47059,1.006286
18,164.652,10.019500497,25183596622.555557,19967056874.444443,25181769743.88889,1.005048
18,170.519,10.020017549,25174728577.944443,19964300156.666668,25168653533.38889,1.005952
18,170.088,10.018665861,25167326326.333332,19964632181.11111,25166837973.166668,1.006286
18,169.686,10.018722103,25173870117.5,19964723416.666668,25173341638.666668,1.005905
18,168.13,10.019123104,25364654354.444443,19965114970.0,25172327913.22222,1.005952
18,167.542,10.019136413,25202634011.5,19967223006.666668,25197148062.944443,1.004810
18,167.39,10.020040467,25175871784.38889,19966089136.666668,25174111418.0,1.006238
18,167.009,10.020212508,25181926162.166668,19964659126.666668,25181589924.27778,1.006286
18,166.405,10.019720165,25170391687.61111,19964185700.0,25169831920.944443,1.006286
18,165.907,10.018919454,25165089661.38889,19964429320.0,25163484753.11111,1.006619
19,174.117,10.019320073,25124199405.42105,19964820717.894737,25123987449.473682,1.007333
19,173.712,10.017839940,25121112918.36842,19964470301.05263,25118676694.05263,1.007952
19,172.907,10.018196948,25124290918.736843,19964362188.42105,25123849989.105263,1.009429
19,172.172,10.017833963,25124887007.210526,19966866043.157894,25119034173.842106,1.008190
19,171.771,10.018619625,25108851535.789474,19965883709.473682,25106974806.157894,1.009952
19,171.755,10.018041155,25111515391.63158,19964905251.57895,25109041502.210526,1.007048
19,170.999,10.018518137,25123750631.157894,19964066654.736843,25123251709.526318,1.008619
19,170.159,10.019043339,25117930635.42105,19964634882.105263,25116648813.526318,1.007905
19,170.104,10.018642813,25129597084.263157,19967404613.68421,25124048011.526318,1.007857
19,177.135,10.016748018,25117497162.105263,19964662092.63158,25115259365.473682,1.007048
20,173.46,10.016214552,24560758013.2,19964825642.0,24557036707.35,1.003619
20,172.991,10.015490277,25810783920.95,19968627179.0,24555469357.0,1.002381
20,172.342,10.015984075,24568791702.35,19966187197.0,24567105512.85,1.003619
20,171.625,10.016164342,24608470900.65,19966266972.0,24559690705.65,1.003619
20,171.338,10.014883908,24688500375.5,19964959928.0,24547772306.9,0.991143
20,171.734,10.015770983,24594950579.85,19966043164.0,24557791711.65,1.003048
20,170.857,10.015586238,24552837734.0,19967031463.0,24548608300.55,1.003619
20,170.874,10.014274326,24559548615.55,19964996486.0,24556804331.5,1.001810
20,177.394,10.016298388,24845735326.4,19966422757.0,24573910813.1,1.003048
20,177.457,10.016144536,24545545077.65,19964837887.0,24544833517.75,1.003619
21,178.845,10.015335486,24622992081.04762,19965800873.333332,24576074032.333332,1.003048
21,177.242,10.015754046,24526195631.095238,19965832432.38095,24521213376.95238,1.003619
21,177.034,10.015315481,24626906167.04762,19965029475.238094,24509796145.904762,1.003048
21,176.303,10.015146459,24729501917.761906,19964689814.285713,24500974734.142857,1.003619
21,175.311,10.015136040,24495522313.38095,19966352828.57143,24488882398.0,1.003619
21,174.722,10.015205747,24566392252.285713,19966080020.0,24485927538.761906,1.003048
21,174.747,10.014690446,24566535804.714287,19966028364.761906,24497931322.52381,1.003619
21,174.516,10.015113324,24539514840.190475,19966171814.285713,24535830214.142857,1.003619
21,181.393,10.015184405,24548221066.42857,19965700397.142857,24546135740.47619,1.003048
21,180.923,10.016235095,24519026146.57143,19966076504.761906,24516582920.61905,1.003619
22,179.37,10.016147607,24526491695.363636,19966043290.0,24523320398.81818,1.003619
22,178.554,10.014593203,24535633712.31818,19965342825.454544,24527342962.636364,1.003619
22,179.07,10.015304336,24545112070.045456,19964406040.909092,24526165926.272728,1.003619
22,178.646,10.015951508,24577051464.5,19967588611.81818,24515417667.090908,1.003619
22,178.255,10.015940636,24591884769.863636,19966103708.18182,24542110047.545456,1.003619
22,177.175,10.015924769,24580412017.227272,19966073259.090908,24521286808.545456,1.003619
22,184.235,10.016051897,24527080955.409092,19965711987.272728,24523163861.636364,1.003048
22,184.385,10.015828204,24513145083.0,19964867045.454544,24508541926.909092,1.003048
22,184.123,10.016089978,24539804037.136364,19966386512.727272,24530649997.090908,1.003619
22,183.774,10.015210100,24547576959.409092,19964812445.454544,24544618646.090908,1.003619
23,182.95,10.015145531,24505404646.608696,19965188538.260868,24502861789.47826,1.003619
23,182.84,10.014718642,24561734337.130436,19966544518.260868,24508910949.173912,1.003619
23,182.263,10.016241927,24533108386.04348,19966179587.826088,24531408965.217392,1.003619
23,181.227,10.015079719,24607794076.086956,19965750045.217392,24524861153.217392,1.003048
23,188.781,10.015508715,24517311533.52174,19966442272.173912,24510161423.391304,1.003619
23,188.307,10.015111783,24555625052.086956,19966167860.869564,24527733875.565216,1.003048
23,187.663,10.016068015,24590404158.0,19966893958.260868,24518494403.782608,1.003619
23,187.103,10.014524359,24567227335.695652,19966228368.695652,24518179221.739132,1.003619
23,185.701,10.015096176,24528845124.869564,19965258043.47826,24527909333.04348,1.003619
23,185.064,10.014932189,24585149567.130436,19966053789.565216,24528262991.608696,1.003619
24,185.78,10.014565206,24574092003.75,19965784300.833332,24551265288.083332,1.001810
24,184.561,10.014463174,24569328916.958332,19966193284.166668,24557749251.5,1.003619
24,192.543,10.014649831,24553496331.458332,19966062805.0,24543504469.708332,1.003619
24,192.274,10.015271944,24548635858.583332,19965906154.166668,24543804503.708332,1.003619
24,190.248,10.013860286,24667380365.166668,19967089306.666668,24550556608.625,1.003619
24,190.009,10.014912147,24555745261.0,19966255994.166668,24552210954.166668,1.003619
24,189.627,10.015040578,24557448339.333332,19966551241.666668,24552979857.958332,1.003619
24,189.62,10.015959768,24606990040.458332,19966563404.166668,24566850490.541668,1.003048
24,188.932,10.015097695,24551827332.541668,19966035858.333332,24547221418.125,1.003619
24,187.788,10.015397508,24544547913.291668,19966559504.166668,24538278186.458332,1.003619
25,195.643,10.015497912,24819039261.48,19966575072.0,24763641170.08,1.003619
25,195.083,10.015078312,24827870514.4,19966311998.4,24795158174.16,1.003619
25,193.719,10.015003887,24837283780.24,19967183673.6,24768141155.96,1.003619
25,193.333,10.019895639,24775408186.12,19966012660.0,24762559154.48,1.002381
25,191.317,10.016190773,24781275400.04,19966143419.2,24779721434.4,1.003619
25,198.593,10.022977941,24784182831.84,19966414037.6,24766976969.88,1.002381
25,196.367,10.022223181,24821194678.84,19966483837.6,24769647166.64,1.002381
25,195.301,10.015979437,25643864888.36,19967588918.4,24754487328.64,1.003619
25,194.101,10.015954513,24776493380.16,19966169768.8,24760155470.24,1.003619
25,193.33,10.014724248,24773323123.96,19966361576.0,24762385629.56,1.003619
26,202.944,10.015314602,24987968922.153847,19966679875.384617,24971110539.96154,0.998190
26,202.287,10.015238119,24982751710.615383,19966732759.23077,24964580960.846153,0.998238
26,199.885,10.014613702,24981272436.03846,19966075399.23077,24967494047.46154,0.997619
26,199.981,10.015467958,24982299045.076923,19966225071.53846,24972650536.53846,0.998190
26,199.388,10.014918059,24963291800.884617,19966250107.692307,24962027945.115383,0.997619
26,197.678,10.015769696,25925003249.03846,19968125920.76923,24960619272.46154,0.998190
26,196.661,10.014395551,24985327621.73077,19966003742.307693,24981446000.96154,0.998190
26,196.135,10.014471423,24972741121.76923,19966705159.23077,24959284096.46154,0.986286
26,203.031,10.016321653,24955812449.923077,19966654734.615383,24951807447.73077,0.998190
26,202.278,10.016204287,24972637098.76923,19966333905.384617,24968251140.73077,0.998190
27,202.202,10.013609363,24919203124.333332,19966352877.037037,24906726914.814816,1.006238
