threads,core,cycles,mperf,aperf,core_voltage,execution_time
1,32,1479078.0,98400.0,129405.0,96,10.031276415
1,33,4437027.0,3568660.0,4317930.0,94,10.031276415
1,34,5732105.0,4671600.0,5670527.0,112,10.031276415
1,35,3723815.0,3030360.0,3639020.0,111,10.031276415
1,36,1891860.0,1601360.0,1853545.0,112,10.031276415
1,37,4667417.0,3458320.0,4519316.0,110,10.031276415
1,38,1558279.0,1253380.0,1484374.0,112,10.031276415
1,39,12233892.0,9317420.0,12199367.0,110,10.031276415
1,40,243996.0,214700.0,245451.0,98,10.031276415
1,41,177600.0,155240.0,179347.0,97,10.031276415
1,42,250527.0,205840.0,252046.0,94,10.031276415
1,43,239356.0,199720.0,237599.0,113,10.031276415
1,44,113048.0,102480.0,111608.0,115,10.031276415
1,45,140272.0,122800.0,138655.0,113,10.031276415
1,46,243372.0,203160.0,241376.0,113,10.031276415
1,47,221424.0,186260.0,220077.0,113,10.031276415
1,48,14062940.0,11278540.0,13951544.0,98,10.031276415
1,49,20851363.0,16410400.0,20664626.0,97,10.031276415
1,50,31155109.0,24158200.0,30901791.0,94,10.031276415
1,51,25661544.0,20116160.0,25567028.0,112,10.031276415
1,52,13499318.0,10784660.0,13400945.0,115,10.031276415
1,53,24693699.0,19328480.0,24608282.0,112,10.031276415
1,54,66359246.0,49289940.0,66272008.0,112,10.031276415
1,55,61822856.0,45750700.0,61754094.0,112,10.031276415
1,56,409813.0,334900.0,402055.0,95,10.031276415
1,57,406530.0,336380.0,399975.0,92,10.031276415
1,58,385815.0,307080.0,381132.0,92,10.031276415
1,59,409785.0,320020.0,405406.0,112,10.031276415
1,60,6754164.0,4730800.0,6695381.0,113,10.031276415
1,61,8069827.0,5639020.0,8027569.0,111,10.031276415
1,62,5107693.0,3701860.0,5054348.0,111,10.031276415
1,63,18754816.0,12711240.0,18691993.0,112,10.031276415
1,0,29887796869.0,19962801800.0,29887752388.0,96,10.031691896
1,1,27049886.0,19923440.0,25269071.0,93,10.031691896
1,2,15202571.0,11994640.0,14668685.0,93,10.031691896
1,3,14415659.0,11357700.0,13866534.0,111,10.031691896
1,4,11601772.0,9149780.0,11196729.0,112,10.031691896
1,5,18076470.0,14422480.0,17655290.0,110,10.031691896
1,6,72394784.0,54281900.0,71903607.0,112,10.031691896
1,7,23885377.0,18462080.0,22973775.0,110,10.031691896
1,8,11092002.0,7817000.0,10684530.0,98,10.031691896
1,9,12062898.0,8578140.0,11630758.0,98,10.031691896
1,10,5911667.0,4224320.0,5524567.0,94,10.031691896
1,11,4481737.0,3044180.0,4125521.0,113,10.031691896
1,12,702330.0,509840.0,541218.0,115,10.031691896
1,13,5264775.0,4104640.0,4988737.0,113,10.031691896
1,14,6368525.0,4698800.0,6100261.0,113,10.031691896
1,15,12745905.0,9319460.0,12346999.0,113,10.031691896
1,16,7651751.0,5053180.0,6927362.0,98,10.031691896
1,17,7675938.0,5615280.0,7202242.0,98,10.031691896
1,18,3221695.0,2219640.0,2938847.0,113,10.031691896
1,19,12546799.0,9137240.0,11983790.0,112,10.031691896
1,20,8033781.0,5609820.0,7527567.0,114,10.031691896
1,21,4193421.0,2976340.0,3763632.0,112,10.031691896
1,22,82885380.0,59293580.0,79874948.0,112,10.031691896
1,23,6981872.0,4795120.0,6478867.0,112,10.031691896
1,24,820759.0,538580.0,648617.0,95,10.031691896
1,25,799274.0,512460.0,625856.0,92,10.031691896
1,26,783486.0,500760.0,612224.0,92,10.031691896
1,27,764787.0,539820.0,590563.0,112,10.031691896
1,28,781302.0,550940.0,607623.0,113,10.031691896
1,29,832128.0,589720.0,659680.0,111,10.031691896
1,30,796089.0,561940.0,623605.0,111,10.031691896
1,31,837606.0,587860.0,663765.0,112,10.031691896
1,32,18111266.0,13298800.0,16589622.0,96,10.031691896
1,33,17295372.0,13847120.0,17202355.0,93,10.031691896
1,34,21222796.0,16799780.0,21131784.0,93,10.031691896
1,35,16807889.0,13545260.0,16737395.0,111,10.031691896
1,36,68099728.0,50703580.0,68037582.0,112,10.031691896
1,37,19423507.0,15452480.0,19300156.0,110,10.031691896
1,38,14801067.0,12009940.0,14718814.0,112,10.031691896
1,39,17079150.0,13829260.0,16992378.0,110,10.031691896
1,40,5615564.0,4523280.0,5551678.0,98,10.031691896
1,41,2553459.0,1987220.0,2490841.0,98,10.031691896
1,42,4029833.0,3178100.0,3992234.0,94,10.031691896
1,43,6058414.0,4744540.0,6018164.0,113,10.031691896
1,44,105376.0,97320.0,108276.0,115,10.031691896
1,45,110844.0,103580.0,113032.0,113,10.031691896
1,46,130993.0,119420.0,134547.0,113,10.031691896
1,47,121114.0,109680.0,124202.0,113,10.031691896
1,48,4057106.0,3085880.0,3991663.0,98,10.031691896
1,49,5537946.0,4328020.0,5411007.0,98,10.031691896
1,50,2544825.0,1980760.0,2392886.0,113,10.031691896
1,51,8412659.0,6639800.0,8200959.0,112,10.031691896
1,52,8816680.0,6974520.0,8758106.0,114,10.031691896
1,53,8669523.0,7229220.0,9305538.0,112,10.031691896
1,54,5840861.0,4685200.0,5759904.0,112,10.031691896
1,55,58378455.0,42031860.0,58330548.0,112,10.031691896
1,56,212299.0,191300.0,213262.0,95,10.031691896
1,57,185931.0,165860.0,187746.0,92,10.031691896
1,58,204711.0,175740.0,205793.0,92,10.031691896
1,59,219272.0,190680.0,223916.0,112,10.031691896
1,60,193259.0,169760.0,194415.0,113,10.031691896
1,61,138662.0,119580.0,136633.0,111,10.031691896
1,62,212189.0,180960.0,213795.0,111,10.031691896
1,63,209139.0,177200.0,208969.0,112,10.031691896
1,0,29885675737.0,19962391840.0,29885631866.0,96,10.032381488
1,1,35251167.0,26639560.0,33609821.0,93,10.032381488
1,2,23516536.0,18821400.0,23139218.0,112,10.032381488
1,3,12187191.0,9597060.0,11846679.0,111,10.032381488
1,4,86689469.0,69188260.0,84142045.0,112,10.032381488
1,5,16508862.0,16564800.0,21405053.0,110,10.032381488
1,6,13594304.0,10544240.0,13094397.0,112,10.032381488
1,7,30270610.0,23622220.0,29449587.0,110,10.032381488
1,8,4140076.0,3171180.0,3852865.0,98,10.032381488
1,9,4457751.0,3395880.0,4113510.0,97,10.032381488
1,10,5877548.0,4404480.0,5490741.0,94,10.032381488
1,11,3925896.0,3056820.0,3636110.0,113,10.032381488
1,12,10769406.0,7681840.0,10461852.0,115,10.032381488
1,13,1678901.0,1238980.0,1394151.0,113,10.032381488
1,14,958153.0,703000.0,779466.0,113,10.032381488
1,15,8956289.0,6040200.0,8635000.0,113,10.032381488
1,16,12933063.0,9116620.0,12196531.0,98,10.032381488
1,17,7562525.0,5748700.0,7171318.0,97,10.032381488
1,18,2971811.0,2113940.0,2617975.0,94,10.032381488
1,19,4918574.0,3637560.0,4634597.0,112,10.032381488
1,20,51299212.0,37050040.0,50951917.0,114,10.032381488
1,21,52778891.0,38102120.0,52399666.0,112,10.032381488
1,22,5128492.0,3955840.0,4735393.0,112,10.032381488
1,23,4546021.0,3169980.0,4060757.0,112,10.032381488
1,24,679990.0,436320.0,512581.0,95,10.032381488
1,25,690126.0,449420.0,523135.0,92,10.032381488
1,26,672450.0,429240.0,507823.0,92,10.032381488
1,27,660672.0,475380.0,503737.0,112,10.032381488
1,28,657371.0,475100.0,496114.0,113,10.032381488
1,29,629393.0,448580.0,472112.0,111,10.032381488
1,30,649175.0,463140.0,490217.0,111,10.032381488
1,31,635665.0,454300.0,476677.0,112,10.032381488
1,32,16677489.0,9467200.0,11948377.0,96,10.032381488
1,33,16884533.0,13502460.0,16797222.0,93,10.032381488
1,34,15234225.0,12286060.0,15155821.0,112,10.032381488
1,35,10766492.0,8630820.0,10703028.0,111,10.032381488
1,36,14117939.0,11326620.0,14018645.0,112,10.032381488
1,37,13996922.0,11090760.0,13899581.0,110,10.032381488
1,38,8202956.0,6675660.0,8136738.0,112,10.032381488
1,39,24498609.0,19746000.0,24419183.0,110,10.032381488
1,40,5346921.0,4266100.0,5319094.0,98,10.032381488
1,41,5501996.0,4417900.0,5460409.0,97,10.032381488
1,42,2739207.0,2167020.0,2694077.0,94,10.032381488
1,43,242932.0,196000.0,238879.0,113,10.032381488
1,44,6687210.0,4738780.0,6620224.0,115,10.032381488
1,45,229381.0,192860.0,228951.0,113,10.032381488
1,46,14413163.0,9921380.0,14364689.0,113,10.032381488
1,47,10721717.0,7925520.0,10678096.0,113,10.032381488
1,48,3544783.0,2808860.0,3504901.0,98,10.032381488
1,49,3999872.0,2785740.0,3895456.0,97,10.032381488
1,50,2762737.0,1914180.0,2649040.0,94,10.032381488
1,51,5036749.0,3716100.0,4943563.0,112,10.032381488
1,52,3252263.0,2481520.0,3200410.0,114,10.032381488
1,53,2408569.0,1883460.0,2363103.0,112,10.032381488
1,54,2492684.0,1958480.0,2443417.0,112,10.032381488
1,55,57363245.0,41565800.0,57317681.0,112,10.032381488
1,56,218737.0,190380.0,217949.0,95,10.032381488
1,57,207610.0,186300.0,208210.0,92,10.032381488
1,58,201297.0,170420.0,199243.0,92,10.032381488
1,59,214932.0,183060.0,214529.0,112,10.032381488
1,60,199514.0,176560.0,199741.0,113,10.032381488
1,61,187186.0,161220.0,186313.0,111,10.032381488
1,62,209876.0,179680.0,211414.0,111,10.032381488
1,63,195992.0,168000.0,194841.0,112,10.032381488
1,0,29890365040.0,19962339320.0,29890152792.0,96,10.031163436
1,1,18702711.0,13272140.0,16947119.0,93,10.031163436
1,2,2813036.0,2066460.0,2422391.0,93,10.031163436
1,3,7029836.0,5205220.0,6603985.0,111,10.031163436
1,4,1018222.0,750520.0,833569.0,112,10.031163436
1,5,3743438.0,2824720.0,3285637.0,110,10.031163436
1,6,57981785.0,41839760.0,57596434.0,112,10.031163436
1,7,20079661.0,14640220.0,19150300.0,110,10.031163436
1,8,1041110.0,725140.0,859206.0,98,10.031163436
1,9,882029.0,586100.0,700463.0,98,10.031163436
1,10,916756.0,602600.0,736819.0,94,10.031163436
1,11,882829.0,628860.0,700886.0,113,10.031163436
1,12,1028757.0,764900.0,840706.0,115,10.031163436
1,13,853106.0,607920.0,673720.0,113,10.031163436
1,14,1245990.0,875940.0,1030622.0,113,10.031163436
1,15,743898.0,537760.0,578185.0,113,10.031163436
1,16,31351072.0,23909320.0,30443048.0,98,10.031163436
1,17,66073783.0,49762860.0,67034894.0,98,10.031163436
1,18,78527547.0,58262600.0,77950555.0,113,10.031163436
1,19,93437471.0,67697560.0,90472149.0,112,10.031163436
1,20,19612586.0,15052620.0,18960113.0,114,10.031163436
1,21,26515162.0,20893680.0,25873936.0,112,10.031163436
1,22,11000261.0,8570600.0,10380918.0,112,10.031163436
1,23,19333942.0,15013860.0,18774234.0,112,10.031163436
1,24,6551666.0,4442000.0,6231353.0,95,10.031163436
1,25,3882021.0,2598000.0,3645559.0,92,10.031163436
1,26,646363.0,408220.0,480456.0,92,10.031163436
1,27,597175.0,421300.0,437330.0,112,10.031163436
1,28,607362.0,430400.0,447618.0,113,10.031163436
1,29,590374.0,412500.0,428212.0,111,10.031163436
1,30,616124.0,436920.0,456720.0,111,10.031163436
1,31,6309085.0,4609820.0,5910068.0,112,10.031163436
1,32,80540.0,63980.0,78250.0,96,10.031163436
1,33,2989235.0,2516460.0,2898195.0,93,10.031163436
1,34,3198353.0,2619220.0,3139525.0,93,10.031163436
1,35,2676954.0,2189040.0,2621928.0,111,10.031163436
1,36,3066567.0,2591920.0,2998318.0,112,10.031163436
1,37,5583913.0,4281360.0,5489676.0,110,10.031163436
1,38,3696540.0,2988120.0,3629958.0,112,10.031163436
1,39,6302616.0,5120600.0,6252285.0,110,10.031163436
1,40,220673.0,195200.0,217003.0,98,10.031163436
1,41,320757.0,286940.0,319226.0,98,10.031163436
1,42,380316.0,311680.0,380062.0,94,10.031163436
1,43,370025.0,303620.0,368205.0,113,10.031163436
1,44,185655.0,170920.0,182685.0,115,10.031163436
1,45,343529.0,283260.0,341795.0,113,10.031163436
1,46,231846.0,193020.0,228356.0,113,10.031163436
1,47,362440.0,300220.0,360406.0,113,10.031163436
1,48,24028740.0,18707900.0,23892992.0,98,10.031163436
1,49,7780252.0,6058060.0,7655284.0,98,10.031163436
1,50,10352759.0,8271480.0,10216251.0,113,10.031163436
1,51,8019138.0,6403580.0,7908459.0,112,10.031163436
1,52,17456354.0,14051660.0,17320661.0,114,10.031163436
1,53,29822147.0,23910960.0,29713416.0,112,10.031163436
1,54,18312039.0,14684400.0,18213087.0,112,10.031163436
1,55,15050410.0,12090300.0,14912989.0,112,10.031163436
1,56,269210.0,228720.0,257016.0,95,10.031163436
1,57,108435.0,100760.0,108702.0,92,10.031163436
1,58,318024.0,257820.0,314726.0,92,10.031163436
1,59,394378.0,286460.0,367846.0,112,10.031163436
1,60,5848408.0,4573560.0,5790610.0,113,10.031163436
1,61,4832415.0,3605900.0,4800128.0,111,10.031163436
1,62,11932446.0,8783520.0,11850426.0,111,10.031163436
1,63,13329218.0,9644040.0,13258135.0,112,10.031163436
1,0,29874250056.0,19962203200.0,29874200997.0,96,10.031610177
1,1,33559342.0,24722360.0,31603528.0,93,10.031610177
1,2,11298384.0,11994780.0,15053731.0,112,10.031610177
1,3,90351790.0,70151720.0,87840187.0,111,10.031610177
1,4,13436663.0,10656340.0,13050520.0,112,10.031610177
1,5,17359089.0,13827160.0,16928927.0,110,10.031610177
1,6,64582907.0,47852560.0,64177750.0,112,10.031610177
1,7,22098072.0,17146640.0,21352441.0,110,10.031610177
1,8,2150230.0,1469840.0,1786474.0,98,10.031610177
