threads,core,cycles,mperf,aperf,core_voltage,execution_time
1,30,1008278.0,742900.0,837400.0,111,10.031691896
1,31,1046745.0,765060.0,872734.0,112,10.031691896
1,0,29902353226.0,19971859040.0,29897580243.0,96,10.032381488
1,1,52135700.0,40142020.0,50407043.0,93,10.032381488
1,2,38750761.0,31107460.0,38295039.0,112,10.032381488
1,3,22953683.0,18227880.0,22549707.0,111,10.032381488
1,4,100807408.0,80514880.0,98160690.0,112,10.032381488
1,5,30505784.0,27655560.0,35304634.0,110,10.032381488
1,6,21797260.0,17219900.0,21231135.0,112,10.032381488
1,7,54769219.0,43368220.0,53868770.0,110,10.032381488
1,8,9486997.0,7437280.0,9171959.0,98,10.032381488
1,9,9959747.0,7813780.0,9573919.0,97,10.032381488
1,10,8616755.0,6571500.0,8184818.0,94,10.032381488
1,11,4168828.0,3252820.0,3874989.0,113,10.032381488
1,12,17456616.0,12420620.0,17082076.0,115,10.032381488
1,13,1908282.0,1431840.0,1623102.0,113,10.032381488
1,14,15371316.0,10624380.0,15144155.0,113,10.032381488
1,15,19678006.0,13965720.0,19313096.0,113,10.032381488
1,16,16477846.0,11925480.0,15701432.0,98,10.032381488
1,17,11562397.0,8534440.0,11066774.0,97,10.032381488
1,18,5734548.0,4028120.0,5267015.0,94,10.032381488
1,19,9955323.0,7353660.0,9578160.0,112,10.032381488
1,20,54551475.0,39531560.0,54152327.0,114,10.032381488
1,21,55187460.0,39985580.0,54762769.0,112,10.032381488
1,22,7621176.0,5914320.0,7178810.0,112,10.032381488
1,23,61909266.0,44735780.0,61378438.0,112,10.032381488
1,24,898727.0,626700.0,730530.0,95,10.032381488
1,25,897736.0,635720.0,731345.0,92,10.032381488
1,26,873747.0,599660.0,707066.0,92,10.032381488
1,27,875604.0,658440.0,718266.0,112,10.032381488
1,28,856885.0,651660.0,695855.0,113,10.032381488
1,29,816579.0,609800.0,658425.0,111,10.032381488
1,30,859051.0,642820.0,701631.0,111,10.032381488
1,31,831657.0,622300.0,671518.0,112,10.032381488
1,0,29890445580.0,19962403300.0,29890231042.0,96,10.031163436
1,1,21691946.0,15788600.0,19845314.0,93,10.031163436
1,2,6011389.0,4685680.0,5561916.0,93,10.031163436
1,3,9706790.0,7394260.0,9225913.0,111,10.031163436
1,4,4084789.0,3342440.0,3831887.0,112,10.031163436
1,5,9327351.0,7106080.0,8775313.0,110,10.031163436
1,6,61678325.0,44827880.0,61226392.0,112,10.031163436
1,7,26382277.0,19760820.0,25402585.0,110,10.031163436
1,8,1261783.0,920340.0,1076209.0,98,10.031163436
1,9,1202786.0,873040.0,1019689.0,98,10.031163436
1,10,1297072.0,914280.0,1116881.0,94,10.031163436
1,11,1252854.0,932480.0,1069091.0,113,10.031163436
1,12,1214412.0,935820.0,1023391.0,115,10.031163436
1,13,1196635.0,891180.0,1015515.0,113,10.031163436
1,14,1477836.0,1068960.0,1258978.0,113,10.031163436
1,15,1106338.0,837980.0,938591.0,113,10.031163436
1,16,55379812.0,42617220.0,54336040.0,98,10.031163436
1,17,73854035.0,55820920.0,74690178.0,98,10.031163436
1,18,88880306.0,66534080.0,88166806.0,113,10.031163436
1,19,101456609.0,74101140.0,98380608.0,112,10.031163436
1,20,37068940.0,29104280.0,36280774.0,114,10.031163436
1,21,56337309.0,44804640.0,55587352.0,112,10.031163436
1,22,29312300.0,23255000.0,28594005.0,112,10.031163436
1,23,34384352.0,27104160.0,33687223.0,112,10.031163436
1,24,6820876.0,4670720.0,6488369.0,95,10.031163436
1,25,3990456.0,2698760.0,3754261.0,92,10.031163436
1,26,964387.0,666040.0,795182.0,92,10.031163436
1,27,991553.0,707760.0,805176.0,112,10.031163436
1,28,6455770.0,5003960.0,6238228.0,113,10.031163436
1,29,5422789.0,4018400.0,5228340.0,111,10.031163436
1,30,12548570.0,9220440.0,12307146.0,111,10.031163436
1,31,19638303.0,14253860.0,19168203.0,112,10.031163436
1,0,29893601510.0,19976080520.0,29891458606.0,96,10.031610177
1,1,42365546.0,31824460.0,40347495.0,93,10.031610177
1,2,20650247.0,19562080.0,24323090.0,112,10.031610177
1,3,108304247.0,84363300.0,105698860.0,111,10.031610177
1,4,21676535.0,17381100.0,21179620.0,112,10.031610177
1,5,36059906.0,28713200.0,35478067.0,110,10.031610177
1,6,81904824.0,61376360.0,81426025.0,112,10.031610177
1,7,35682259.0,27998620.0,34861577.0,110,10.031610177
1,8,6119510.0,4640260.0,5718454.0,98,10.031610177
1,9,13922117.0,10961360.0,13510783.0,98,10.031610177
1,10,11273444.0,8699340.0,10928069.0,94,10.031610177
1,11,9284899.0,7082540.0,9071874.0,113,10.031610177
1,12,5779108.0,4612640.0,5466193.0,115,10.031610177
1,13,5458882.0,3951660.0,5078537.0,113,10.031610177
1,14,19705609.0,14424360.0,19375094.0,113,10.031610177
1,15,17690020.0,13215620.0,17346561.0,113,10.031610177
1,16,18035621.0,13148500.0,17295198.0,98,10.031610177
1,17,21464495.0,16215080.0,20874941.0,98,10.031610177
1,18,11757789.0,8734640.0,11181331.0,94,10.031610177
1,19,12333112.0,9267060.0,11784309.0,112,10.031610177
1,20,57291006.0,41562860.0,56837319.0,114,10.031610177
1,21,15817331.0,11965120.0,15336360.0,112,10.031610177
1,22,8810934.0,6909040.0,8297964.0,112,10.031610177
1,23,63805001.0,46171360.0,63196046.0,112,10.031610177
1,24,1015864.0,706680.0,836676.0,95,10.031610177
1,25,1024444.0,706320.0,837321.0,92,10.031610177
1,26,913446.0,622440.0,735687.0,92,10.031610177
1,27,920979.0,679460.0,748510.0,112,10.031610177
1,28,921016.0,677640.0,752035.0,113,10.031610177
1,29,873524.0,640000.0,703203.0,111,10.031610177
1,30,1042181.0,757540.0,871370.0,111,10.031610177
1,31,933276.0,685020.0,763670.0,112,10.031610177
1,0,29875096150.0,19968391760.0,29872014507.0,96,10.031467624
1,1,55227429.0,41990640.0,53068715.0,93,10.031467624
1,2,36182530.0,31816340.0,39435089.0,112,10.031467624
1,3,102585098.0,79940340.0,99776504.0,111,10.031467624
1,4,33083372.0,26258780.0,32469211.0,112,10.031467624
1,5,76266769.0,56037040.0,75593501.0,110,10.031467624
1,6,92439124.0,69416660.0,91857339.0,112,10.031467624
1,7,40043218.0,31250580.0,38876276.0,110,10.031467624
1,8,9832578.0,7677520.0,9437081.0,98,10.031467624
1,9,6103413.0,4726360.0,5724618.0,98,10.031467624
1,10,12101751.0,9016040.0,11638170.0,94,10.031467624
1,11,17281929.0,12417500.0,16763219.0,113,10.031467624
1,12,24254054.0,17695220.0,23952060.0,115,10.031467624
1,13,14111741.0,11068140.0,13815686.0,113,10.031467624
1,14,5154933.0,4037740.0,4913734.0,113,10.031467624
1,15,13394149.0,10656020.0,12982729.0,113,10.031467624
1,16,12939381.0,9196280.0,12108182.0,98,10.031467624
1,17,13174240.0,9819320.0,12605360.0,98,10.031467624
1,18,8864131.0,6422680.0,8288637.0,94,10.031467624
1,19,9709736.0,7186020.0,9210550.0,112,10.031467624
1,20,16673532.0,12880720.0,16223681.0,114,10.031467624
1,21,8037233.0,6055200.0,7434723.0,112,10.031467624
1,22,7635945.0,5858940.0,7103152.0,112,10.031467624
1,23,64751176.0,44639140.0,64186276.0,112,10.031467624
1,24,1061388.0,768360.0,891209.0,95,10.031467624
1,25,1017618.0,723540.0,847445.0,92,10.031467624
